0.99999999327221856,9.5035034395660092E-004,2.8453453262024833E-004,4.3355855564167128E-005,5.1441441095354664E-005,5.6626626245655056E-009
-7.1391471206011187E-003,-2.7920198303189041E-003,2.0618257046835719E-004,5.3742618854739607E-006,-7.4109666400983439E-006,-9.4228928992033705E-008;3.9963206811108321,2.9325618230120920,-0.10161684513324119,-4.5580995107645803E-003,6.4393467159066962E-003,7.5362433797661883E-005;6.4014180589088028,6.5652524395894289,-0.36891990866911151,-4.2857437755216771E-003,3.8841698672038160E-003,1.0278267778487920E-004;14.423381330083719,-13.738440696140779,-0.23791853620184850,2.6837534572890041E-003,2.6650329413997532E-003,-2.4870770529099009E-005;16.803627174354329,-24.995450612462601,0.12748328507159021,2.5847451625553150E-003,1.7693564391068740E-003,-9.6002536920095061E-005;-9.8840028701230604,-27.960808274454710,5.8510049547197518,3.0340769016485919E-003,-1.5453347746802559E-003,-7.1226928057482376E-004
7.071105127347946e-03,3.872126314401719e-03,-2.392363065625658e-04,-4.946105349519816e-06,6.762136038112119e-06,7.590118235191565e-08;-4.210256702118371e+00,-3.328139852727090e+00,1.080271380952513e-01,4.626434363219180e-03,-5.630908408620298e-03,-7.960375304155244e-05;-8.325985135728184e+00,-4.894257837005114e+00,4.166262788839447e-01,2.557276697095259e-03,-4.861052511947441e-03,-1.825258704912018e-05;1.840390960687670e+01,7.547876871504561e+00,-2.101444537677139e-01,-1.542068028139941e-03,3.459788153423097e-03,3.276496954940735e-05;-2.913979438489952e+01,6.919899313984017e+00,5.291080896456288e-01,-7.587889438477634e-04,-3.057306591043688e-03,8.045706496228435e-05;3.883050971512461e+01,2.537308075045684e+01,-1.394687952349454e+01,-1.040649447268872e-03,1.898003747881454e-03,9.799211696635367e-05
-7.113133152252635e-03,-4.799312286063151e-03,2.289699335956274e-04,5.798619780399382e-06,-6.656708757431252e-06,-7.272349255045521e-08;3.219162189655202e+00,3.803320356430263e+00,-8.791493668362192e-02,-5.851979818938124e-03,5.228351015286803e-03,1.080398990292689e-04;9.516173058682091e+00,-9.775419442487860e-01,-3.644728151783233e-01,2.768660324086621e-04,5.542992444978928e-03,-1.058012350026060e-04;-8.392898914484049e-01,1.878812549267928e+01,8.028798209303029e-02,-3.991020245225744e-03,-3.756294352286739e-04,5.017401620015786e-05;2.687854474601136e+01,1.260243999232394e+01,-8.792735064081655e-01,-1.371699601920616e-03,2.866877058635316e-03,-2.742210681940249e-05;-2.853575443051738e+01,1.888782529899967e+01,6.234260164128770e+00,-9.570700616778002e-04,-2.874625615122592e-03,5.843695259796684e-04
7.138834133560753e-03,4.289791614080496e-03,-2.276916476928738e-04,-4.854775736873447e-06,6.109868947563026e-06,5.418828460831771e-08;-3.447427574131742e+00,-4.085990918915796e+00,9.423331414852347e-02,5.717851972218877e-03,-4.563697719868331e-03,-1.072611831381902e-04;-8.680674445125836e+00,3.158731520928600e+00,2.955311632549615e-01,-2.198480969091270e-03,-5.308856276179193e-03,1.782974449899003e-04;-1.788988106654776e+01,2.824842960485921e+00,2.413546567503803e-01,-6.582803263238536e-04,-4.104920316633492e-03,-6.571118399773391e-06;-1.199835897377430e+01,-2.775682076699941e+01,8.483996624068545e-01,2.862596070522667e-03,-1.241043500712584e-03,-4.043810353738969e-05;3.982532041971253e+01,-1.051270667512908e+01,-1.039734563180535e+01,1.067335617648872e-03,2.232268841933282e-03,-5.473338512651776e-04
-3.050729756808934e-03,-2.673084375716435e-03,1.133077473514894e-04,5.370448021443774e-06,-4.336651061397688e-06,-6.621595251513172e-08;2.256821095186130e+00,4.487198457234767e+00,-6.969937931090386e-02,-6.844418685353578e-03,3.732315715223323e-03,1.353842362791303e-04;5.855486051007218e+00,-8.011674891897332e+00,-1.015726105620385e-01,4.232051034127673e-03,3.265148120824282e-03,-2.254535362454662e-04;-6.738917178888197e+00,-1.763700290260627e+01,2.295328943294647e-02,3.653844731646230e-03,-1.613342804742728e-03,-5.292649112926368e-05;-9.097149890989842e+00,2.823962400336269e+01,-3.719262771996895e-01,-3.033640225459261e-03,-9.535303932758324e-04,8.961236963088578e-05;2.307316983376613e+00,4.455979320725107e+01,-5.428194693082975e+00,-2.260841378051905e-03,-2.718406115695825e-04,6.832429386017807e-04
1.031662975911656e-03,3.393149119082907e-03,-3.255920241616244e-05,-4.792118459587646e-06,3.216040259103819e-06,5.991417755217510e-08;-2.493834283132977e+00,-4.693936407756383e+00,7.608385550574998e-02,6.624832694958778e-03,-3.225232148433338e-03,-1.323546262698646e-04;-2.101110605677721e+00,8.756831407162496e+00,-6.087739513169226e-02,-5.731085842442820e-03,-1.358404898279591e-03,2.541442741015344e-04;1.502328795780345e+01,-1.311475050004572e+01,-2.403168144838517e-01,2.562496664593719e-03,2.775520486736001e-03,-2.293871543356075e-05;2.497654619865798e+01,-1.662288556099602e+01,-2.336859192105643e-01,1.713518872731922e-03,2.636857845020351e-03,-9.385475240145966e-05;2.612040516342075e+00,-3.170442160816403e+01,2.628916092189447e+00,3.186983484898177e-03,-3.486699468900616e-04,-8.850013492336295e-04
1.647638314811162e-04,-2.016749359157371e-03,-5.253972004897814e-05,5.735303408237192e-06,-1.598313999768984e-06,-9.653158586212229e-08;1.131487258367603e+00,4.929962199586798e+00,-4.728602337436147e-02,-7.475277876912889e-03,2.031303784649807e-03,1.561053993258866e-04;-1.744574095379752e+00,-9.775957908959766e+00,2.318231105558513e-01,5.236788723195837e-03,-1.051452000117487e-03,-1.946931317287047e-04;1.807745932875729e+01,8.325268597852160e+00,-2.020871746063981e-01,-1.688659695058582e-03,3.388424391414889e-03,3.379027398714570e-05;-2.969664201953772e+01,-4.820554873215626e+00,7.844510646686165e-01,4.737135178690582e-04,-3.100136022341336e-03,5.294385391330363e-05;3.404491339940598e+01,3.228777132770919e+01,-1.329816477520802e+01,-1.410381018902300e-03,1.603409704310590e-03,2.370111529733152e-04
-1.377662752443340e-03,9.674895243903768e-04,9.463623116672142e-05,-5.255772948195302e-06,4.871255771877888e-07,1.089657557000627e-07;-1.415577314328371e+00,-5.084760992241333e+00,5.455271486903612e-02,7.228215415734855e-03,-1.704389194231850e-03,-1.517367412111211e-04;6.253828568663939e+00,6.741363850690597e+00,-3.638892351076716e-01,-4.380544372107854e-03,3.753641476723708e-03,1.164873566783300e-04;-1.656192476500156e+00,1.873160674236846e+01,8.801864154631155e-02,-3.970978511883405e-03,-5.498796263157377e-04,4.889083345564645e-05;1.974100262105791e+01,2.205420525363120e+01,-9.098383227315254e-01,-2.383634912463903e-03,2.116254406879632e-03,1.141221479903331e-05;-3.055803185882988e+01,6.903234256847546e+00,8.106176478086951e+00,-4.040310198921493e-05,-3.267619343973233e-03,3.604206663599857e-04
3.170007188184026e-03,-1.948606302637539e-03,-1.387719908354977e-04,6.453929940356275e-06,1.302682591345328e-06,-1.457268155276288e-07;-3.080727334489416e-02,5.108360251128871e+00,-2.318966026344991e-02,-7.665291087744356e-03,2.879237706065994e-04,1.675760193227723e-04;-8.175022869763678e+00,-5.052548615089546e+00,4.137984902904027e-01,2.682112128242650e-03,-4.828076030793469e-03,-3.127167111223431e-05;-1.799690098958025e+01,2.009295712327930e+00,2.374350547591690e-01,-4.714467585459440e-04,-4.131529342430960e-03,-8.608001108286665e-06;-6.730898670346852e-01,-3.024033148422651e+01,6.384992696373787e-01,3.118706127651976e-03,-5.910227004355185e-05,-7.075345764937340e-05;4.284204105228233e+01,-1.691322865121510e+00,-1.221881601322633e+01,4.905139138152379e-04,2.318116360478652e-03,-3.891578678901159e-04
-1.164652608069110e-03,4.766569958298900e-03,7.804917282331899e-05,-7.100624354860630e-06,-1.267957826309814e-06,1.799122324935648e-07;-3.143157046106594e-01,-5.227591363073627e+00,3.174974522190134e-02,7.476541018101917e-03,-1.256294563070964e-04,-1.638798394019459e-04;9.564422211742373e+00,-6.310810226268448e-01,-3.796515532724415e-01,1.081670543073143e-04,5.538102537477347e-03,-9.249819117235562e-05;-5.931434492656631e+00,-1.793109196039938e+01,1.308696114907502e-02,3.722106394117297e-03,-1.444666492955965e-03,-5.264263871914643e-05;-1.945605921961671e+01,2.251521398412333e+01,-1.459236774231082e-02,-2.419913137513245e-03,-2.048708191796242e-03,9.805954883116083e-05;-6.291057110764508e+00,4.246178785242639e+01,-2.705492835293304e+00,-2.231775380848823e-03,-8.542383739280910e-04,7.371397560860348e-04
