0.99999999327221856,9.5035034395660092E-004,2.8453453262024833E-004,4.3355855564167128E-005,5.1441441095354664E-005,5.6626626245655056E-009
-7.1391471206011187E-003,-2.7920198303189041E-003,2.0618257046835719E-004,5.3742618854739607E-006,-7.4109666400983439E-006,-9.4228928992033705E-008;3.9963206811108321,2.9325618230120920,-0.10161684513324119,-4.5580995107645803E-003,6.4393467159066962E-003,7.5362433797661883E-005;6.4014180589088028,6.5652524395894289,-0.36891990866911151,-4.2857437755216771E-003,3.8841698672038160E-003,1.0278267778487920E-004;14.423381330083719,-13.738440696140779,-0.23791853620184850,2.6837534572890041E-003,2.6650329413997532E-003,-2.4870770529099009E-005;16.803627174354329,-24.995450612462601,0.12748328507159021,2.5847451625553150E-003,1.7693564391068740E-003,-9.6002536920095061E-005;-9.8840028701230604,-27.960808274454710,5.8510049547197518,3.0340769016485919E-003,-1.5453347746802559E-003,-7.1226928057482376E-004
6.8005783092531084E-004,-4.1432077692373764E-003,7.4055767886909124E-005,4.5824501848379819E-006,4.1275541281581619E-006,-1.0427308527364939E-007;-4.6188880420773355,2.7406392529084065,9.2028509460064564E-002,-3.9408939217157506E-003,-6.1372891138852786E-003,1.1368729534164252E-004;8.8617603316141871,3.0010556891274787,-0.40498421200167201,-2.0940794065362283E-003,5.2720907133996320E-003,-8.3159465281103757E-006;8.1080388422311760,17.617717636489310,-3.9604660207259453E-002,-3.6021806147588363E-003,1.4608343032519551E-003,5.2089505172097996E-005;29.789062435563569,2.1003914938766632,-0.72975980460520340,-2.4151621124280856E-004,3.1500384215640423E-003,-5.9303103058610146E-005;20.577349499210463,-29.125175410146063,-2.8356152752456674,2.6556444131293376E-003,1.1063210300252628E-003,-8.8654351741418826E-004
4.5580490130182492E-004,4.2527625018823206E-003,9.3327179213911028E-005,-6.6088785578535996E-006,5.0055460475941341E-007,1.7253183964020910E-007;-1.6937411791595864,-5.0542451935136121,5.9139124369566566E-002,7.0560278495474579E-003,-2.0495375802350481E-003,-1.4919255737168670E-004;9.5156605471838187,-1.0984370670210799,-0.35996196526308405,3.3693494379922643E-004,5.5337720022479667E-003,-1.0925972224574199E-004;-18.064088436690721,-3.0478958146966124,0.22262311238371996,6.2517927369365196E-004,-4.0634064980474456E-003,-2.3164004937058954E-005;12.668513537582008,26.986893786818055,-0.84768083135159866,-2.8601933322612550E-003,1.3541533865143774E-003,3.8032986371417125E-005;39.654897108655533,-11.389776091260350,-10.251548945763785,1.1324435981870759E-003,2.1993223065408345E-003,-5.6287367983969092E-004
-4.5596922769994795E-003,9.3222376291517595E-004,2.1077767215614367E-004,2.1776585073637313E-007,-8.8051683688649973E-006,6.1351419441294745E-008;4.9164436912272667,0.54816369682973420,-0.11202775492935327,-9.2355182388909214E-004,7.8542011954049942E-003,-1.2292008598173479E-005;8.3881909883088124,-5.0813766416628452,-0.24663739950929203,2.5784243699107754E-003,4.7601409666808469E-003,-1.8514803998389450E-004;12.482565311438808,-15.426786884298441,-0.21861242944146883,3.0286773599918818E-003,2.2908353909004424E-003,-3.0688226055226846E-005;-17.348783673255454,24.503605174192174,-0.10470005064511134,-2.5799991715781427E-003,-1.7935780034457180E-003,9.6403301750005779E-005;43.787731563860937,11.333481690907544,-13.878053149708476,-2.5428551934577286E-004,2.2204933986504855E-003,-1.6399604990897828E-004
5.0652339087234339E-003,-1.6590723129388993E-003,-2.7493492908927744E-005,5.0896967124598750E-006,2.7786799826555580E-006,-9.1845618218377526E-008;-2.8809432686941085,4.4048220906910078,4.5804858250922106E-002,-6.4089027228093213E-003,-3.7878394981766448E-003,1.5913473940260965E-004;5.7776684143327302,-8.1089063487696293,-9.0877507417340769E-002,4.2401561120452456E-003,3.2257279251221380E-003,-2.2484083575322162E-004;10.471108634260746,16.465052820102756,-7.4447272869003947E-002,-3.3491719190590712E-003,1.9269232599163680E-003,5.0458248192302827E-005;-30.152325353742693,-2.5107891131521729,0.74677842310809062,2.4275985465404222E-004,-3.1083055177653402E-003,5.8423087565379318E-005;35.685136848626470,31.127282601490354,-13.651684823011648,-1.3093661710149094E-003,1.6632487418145282E-003,2.0084816152236270E-004
8.0384814693444141E-003,8.8975134646644017E-003,-1.4214344625237575E-004,-6.5926968389055309E-006,4.5849361119598418E-006,1.6050666017613791E-007;-3.7613639080942716,-3.8785694290019799,0.10040083671804062,5.3233163830074311E-003,-4.8971051433813551E-003,-9.7991482366977610E-005;2.1851485418005776,-9.8153425389151838,8.1626003583194259E-002,5.1365898740505693E-003,1.1918223779215898E-003,-2.2580119197637431E-004;-18.282204380908247,-0.27222686444244565,0.23546572034379837,2.9456502708958198E-005,-4.1177564835037849E-003,-1.5619664981795825E-005;-13.457683429838749,-27.150314129498518,0.86947247727172072,2.7925772544185297E-003,-1.3759196011014832E-003,-3.6024366207359006E-005;18.780456885908858,43.276275690316538,-10.061040667569557,-2.0073724624763050E-003,7.0476542563532125E-004,5.0531772890349206E-004
-8.1188584433178909E-004,7.9534427937170728E-003,5.9053221797772557E-005,-4.4559314341246768E-006,-6.7668674668040341E-006,1.5247163884463791E-007;4.5857900867453498,-1.9930835613283886,-9.3669632417615514E-002,2.9191458287304833E-003,7.2644917928341322E-003,-9.6007979467868984E-005;-1.7795035622334019,-9.8761839168490333,0.24055553459284287,5.1847661135743083E-003,-1.0042219779970287E-003,-1.9025037606317657E-004;10.330255455264540,-16.836695708619118,-0.19571072321911792,3.3243194870156917E-003,1.8719809956625102E-003,-3.6030676314800440E-005;16.312224693404296,-25.326103920360289,0.14573192597050458,2.6188653472756871E-003,1.7175927364451798E-003,-9.5748255593897425E-005;-2.9176651146676109,43.998517012896286,-3.8612389316278732,-2.2339667611240466E-003,-6.2083089430456774E-004,7.1268247519556504E-004
5.0392653030524523E-003,-1.7989501568034178E-003,-8.3210999049116348E-006,6.1906465769466695E-006,1.0625334430144261E-006,-1.2617346468540227E-007;-0.55290760004598904,5.1205564752852677,-9.4482498309135243E-003,-7.5960822891530944E-003,-4.5800309348636525E-004,1.7117214558214698E-004;-5.4264894384099343,-8.3408401507811707,0.36021190609682507,4.3644184525897410E-003,-3.0613994390278833E-003,-1.2245671470941980E-004;12.653731796656468,15.006818279248693,-0.10791227334142094,-3.0367031072925524E-003,2.3502328540931936E-003,4.7923636877404481E-005;29.829438131932228,1.5053695269818830,-0.71855015796675492,-1.7913086735468753E-004,3.1543191497844653E-003,-6.0838076562799140E-005;-23.153933692459450,29.844079803438746,3.5070847385161592,-1.6215712784881605E-003,-2.2329714191041453E-003,7.0797012377393971E-004
1.3031552634529047E-002,3.5228684664654298E-003,-1.5172414792287000E-004,-3.0244819521428519E-006,7.8180701787067674E-006,3.5743565876875681E-008;-5.0734050838321609,-1.9524460475339549,0.12152708617069681,2.6169929216938175E-003,-6.6926429303087011E-003,-2.9609038192743212E-005;-8.1736283889699344,-5.3534096880378579,0.41916653454406672,2.7438539447385011E-003,-4.6832869846696896E-003,-2.9996302163474562E-005;-18.088207798604373,2.5138629081830866,0.24313012679962806,-5.6958905185206963E-004,-4.0828982153415386E-003,-7.6961002986269398E-006;13.202114832679248,26.728321558521756,-0.85470084039480165,-2.8334105141653199E-003,1.4105933947129875E-003,3.6273360625609802E-005;-30.233927726018017,0.80867173478756060,8.6611274610998965,4.8826565018124331E-004,-3.3234950935986736E-003,2.1421212512865389E-004
6.7633828095501232E-003,5.5879984123300445E-003,3.3303130376610062E-006,-5.7066231250713749E-006,-3.0770514381795968E-006,1.2173457153935064E-007;3.1009972316385888,-4.0401803012017448,-5.1422166878555074E-002,5.8977809101489987E-003,4.9455399043962589E-003,-1.5247134858905831E-004;-9.4369977370999418,-1.4533295140432143,0.40383786776138897,5.4171671753548960E-004,-5.5315829236569306E-003,7.2408240212926321E-005;8.0160952367963532,-17.947777201695448,-0.16949728187145380,3.5636171758725624E-003,1.4172075855255696E-003,-4.0810951043850894E-005;-16.862907173823555,24.836559687219712,-0.12252775611249218,-2.6150333476487068E-003,-1.7426679368562827E-003,9.6192563025726739E-005;-11.548023268334799,-27.050444210359203,6.2344371433559402,2.9698098529493547E-003,-1.7116380893983456E-003,-6.7613750191160586E-004
