0.99999999327221856,9.5035034395660092E-004,2.8453453262024833E-004,4.3355855564167128E-005,5.1441441095354664E-005,5.6626626245655056E-009
-7.1391471206011187E-003,-2.7920198303189041E-003,2.0618257046835719E-004,5.3742618854739607E-006,-7.4109666400983439E-006,-9.4228928992033705E-008;3.9963206811108321,2.9325618230120920,-0.10161684513324119,-4.5580995107645803E-003,6.4393467159066962E-003,7.5362433797661883E-005;6.4014180589088028,6.5652524395894289,-0.36891990866911151,-4.2857437755216771E-003,3.8841698672038160E-003,1.0278267778487920E-004;14.423381330083719,-13.738440696140779,-0.23791853620184850,2.6837534572890041E-003,2.6650329413997532E-003,-2.4870770529099009E-005;16.803627174354329,-24.995450612462601,0.12748328507159021,2.5847451625553150E-003,1.7693564391068740E-003,-9.6002536920095061E-005;-9.8840028701230604,-27.960808274454710,5.8510049547197518,3.0340769016485919E-003,-1.5453347746802559E-003,-7.1226928057482376E-004
6.8005774273468753E-004,-4.1432078486993273E-003,7.4055770156285339E-005,4.5824503316271120E-006,4.1275540222871174E-006,-1.0427308804995173E-007;-4.6188879805853684,2.7406393739034725,9.2028507581996627E-002,-3.9408940805512639E-003,-6.1372889979804347E-003,1.1368729841436593E-004;8.8617603383898391,3.0010556704932276,-0.40498421194489054,-2.0940793960007339E-003,5.2720907173458079E-003,-8.3159470164205245E-006;8.1080388427680568,17.617717636954193,-3.9604660212506228E-002,-3.6021806145891768E-003,1.4608343033361763E-003,5.2089505170206409E-005;29.789062435676918,2.1003914939468520,-0.72975980460917811,-2.4151621122580261E-004,3.1500384215539146E-003,-5.9303103058763602E-005;20.577349499316266,-29.125175410155837,-2.8356152752763459,2.6556444131316764E-003,1.1063210300133305E-003,-8.8654351741385704E-004
4.5580513223356052E-004,4.2527624934219389E-003,9.3327173941471452E-005,-6.6088784361391866E-006,5.0055498482183297E-007,1.7253183542183835E-007;-1.6937414745677166,-5.0542451128105341,5.9139130639015491E-002,7.0560277101482504E-003,-2.0495379753833203E-003,-1.4919255259833285E-004;9.5156605434598305,-1.0984371040686187,-0.35996196448598977,3.3693496400049634E-004,5.5337720006108345E-003,-1.0925972301982122E-004;-18.064088438008667,-3.0478958116178463,0.22262311241228855,6.2517927304784650E-004,-4.0634064979685513E-003,-2.3164004928370463E-005;12.668513538001106,26.986893787047748,-0.84768083136540551,-2.8601933322067261E-003,1.3541533865511820E-003,3.8032986369472893E-005;39.654897108866130,-11.389776091386123,-10.251548945815889,1.1324435982066464E-003,2.1993223065198517E-003,-5.6287367984341711E-004
-4.5596923895940113E-003,9.3222428665250430E-004,2.1077767218166812E-004,2.1776518826891002E-007,-8.8051684395268896E-006,6.1351434608176952E-008;4.9164437417736098,0.54816325612637096,-0.11202775420802834,-9.2355113663134859E-004,7.8542012737701401E-003,-1.2292024280132208E-005;8.3881909622626143,-5.0813766915485648,-0.24663739761431044,2.5784243952274625E-003,4.7601409506171973E-003,-1.8514804072207672E-004;12.482565308228915,-15.426786886751721,-0.21861242940925851,3.0286773604460454E-003,2.2908353902853086E-003,-3.0688226063335316E-005;-17.348783672708400,24.503605175232678,-0.10470005067765616,-2.5799991716052451E-003,-1.7935780033305553E-003,9.6403301748370978E-005;43.787731564379577,11.333481690636775,-13.878053149837273,-2.5428551930178997E-004,2.2204933986398009E-003,-1.6399604992100103E-004
5.0652333641326231E-003,-1.6590724777739150E-003,-2.7493480492320573E-005,5.0896971115478770E-006,2.7786793152861851E-006,-9.1845624303844628E-008;-2.8809427827822738,4.4048224075117952,4.5804846060376714E-002,-6.4089031497444457E-003,-3.7878387809382706E-003,1.5913474589726966E-004;5.7776683538523557,-8.1089063960513190,-9.0877504200166132E-002,4.2401561347225059E-003,3.2257278919967775E-003,-2.2484083610643319E-004;10.471108637986287,16.465052818468003,-7.4447272923624422E-002,-3.3491719185126034E-003,1.9269232606294409E-003,5.0458248187810144E-005;-30.152325354252536,-2.5107891113937049,0.74677842308606224,2.4275985449991687E-004,-3.1083055177476755E-003,5.8423087568632575E-005;35.685136849661482,31.127282601267378,-13.651684823299535,-1.3093661709547334E-003,1.6632487418343197E-003,2.0084816150243713E-004
8.0384818966635282E-003,8.8975131387596888E-003,-1.4214345487756656E-004,-6.5926961711450097E-006,4.5849368221162264E-006,1.6050664215122367E-007;-3.7613644629091203,-3.8785689210065164,0.10040084693232833,5.3233156735184332E-003,-4.8971058715902146E-003,-9.7991463456355871E-005;2.1851484563947148,-9.8153425634046325,8.1626007440789017E-002,5.1365898820218180E-003,1.1918223318127779E-003,-2.2580119152135675E-004;-18.282204381905526,-0.27222685769160437,0.23546572038257749,2.9456501298735379E-005,-4.1177564833185330E-003,-1.5619664962768406E-005;-13.457683431674115,-27.150314128580487,0.86947247729803989,2.7925772543314353E-003,-1.3759196012563036E-003,-3.6024366202099094E-005;18.780456887537738,43.276275690543621,-10.061040668081887,-2.0073724624195760E-003,7.0476542570560216E-004,5.0531772887906217E-004
-8.1188563196281838E-004,7.9534437459019489E-003,5.9053212541038479E-005,-4.4559326255387181E-006,-6.7668669523710859E-006,1.5247166291982236E-007;4.5857897443512279,-1.9930843766118798,-9.3669621305289885E-002,2.9191470822165066E-003,7.2644912688660046E-003,-9.6008005160518747E-005;-1.7795036734721144,-9.8761839019202071,0.24055553884729758,5.1847660994502253E-003,-1.0042220361666722E-003,-1.9025037452493035E-004;10.330255448391233,-16.836695712608844,-0.19571072314501803,3.3243194877503818E-003,1.8719809943259450E-003,-3.6030676329619898E-005;16.312224691776382,-25.326103921141311,0.14573192602723875,2.6188653473759082E-003,1.7175927362890354E-003,-9.5748255592987576E-005;-2.9176651126728279,43.998517014153826,-3.8612389323603131,-2.2339667611123298E-003,-6.2083089417059136E-004,7.1268247517751405E-004
5.0392641982702430E-003,-1.7989500511812007E-003,-8.3210759995329545E-006,6.1906466944695797E-006,1.0625320311622820E-006,-1.2617346166207534E-007;-0.55290658807384507,5.1205565721653459,-9.4482727701819726E-003,-7.5960824003310006E-003,-4.5800158776548047E-004,1.7117214161663927E-004;-5.4264895401537458,-8.3408400878902960,0.36021190918240631,4.3644184129583994E-003,-3.0613994931258173E-003,-1.2245671218863086E-004;12.653731803140582,15.006818274635249,-0.10791227344458057,-3.0367031061667056E-003,2.3502328553328209E-003,4.7923636867481171E-005;29.829438131996124,1.5053695254614041,-0.71855015793385246,-1.7913086715531495E-004,3.1543191497842202E-003,-6.0838076567376594E-005;-23.153933690955419,29.844079806297419,3.5070847377505761,-1.6215712786078113E-003,-2.2329714189311253E-003,7.0797012378947231E-004
1.3031552883537108E-002,3.5228676175526950E-003,-1.5172414970493988E-004,-3.0244805066039284E-006,7.8180707313776577E-006,3.5743530797701207E-008;-5.0734055298509695,-1.9524449361876952,0.12152709132717654,2.6169914193010769E-003,-6.6926434925014631E-003,-2.9609002369347191E-005;-8.1736284692890333,-5.3534095636037886,0.41916653570283569,2.7438538708605439E-003,-4.6832870299713027E-003,-2.9996298346540739E-005;-18.088207798167023,2.5138629187022730,0.24313012683369456,-5.6958905405893117E-004,-4.0828982148099621E-003,-7.6961002679451889E-006;13.202114834534594,26.728321558136482,-0.85470084042624694,-2.8334105140303224E-003,1.4105933949176931E-003,3.6273360618364939E-005;-30.233927726792487,0.80867173879172649,8.6611274608671831,4.8826564986504165E-004,-3.3234950935841019E-003,2.1421212521913132E-004
6.7633835880841738E-003,5.5879994295992760E-003,3.3302919676137197E-006,-5.7066242883876020E-006,-3.0770499581644554E-006,1.2173459046395451E-007;3.1009961887042166,-4.0401811334588986,-5.1422140121524094E-002,5.8977821573879844E-003,4.9455383525775559E-003,-1.5247136962583628E-004;-9.4369977566184247,-1.4533293506663185,0.40383786578577746,5.4171662155910131E-004,-5.5315829369224434E-003,7.2408244361687977E-005;8.0160952259452838,-17.947777206216031,-0.16949728174415224,3.5636171767107756E-003,1.4172075833679986E-003,-4.0810951063319310E-005;-16.862907171942705,24.836559689413910,-0.12252775619675284,-2.6150333477784984E-003,-1.7426679365860165E-003,9.6192563023266562E-005;-11.548023271806917,-27.050444208260394,6.2344371441013662,2.9698098528008260E-003,-1.7116380897262719E-003,-6.7613750183458403E-004
