0.99999999327221856,9.5035034395660092E-004,2.8453453262024833E-004,4.3355855564167128E-005,5.1441441095354664E-005,5.6626626245655056E-009
-7.1391471206011187E-003,-2.7920198303189041E-003,2.0618257046835719E-004,5.3742618854739607E-006,-7.4109666400983439E-006,-9.4228928992033705E-008;3.9963206811108321,2.9325618230120920,-0.10161684513324119,-4.5580995107645803E-003,6.4393467159066962E-003,7.5362433797661883E-005;6.4014180589088028,6.5652524395894289,-0.36891990866911151,-4.2857437755216771E-003,3.8841698672038160E-003,1.0278267778487920E-004;14.423381330083719,-13.738440696140779,-0.23791853620184850,2.6837534572890041E-003,2.6650329413997532E-003,-2.4870770529099009E-005;16.803627174354329,-24.995450612462601,0.12748328507159021,2.5847451625553150E-003,1.7693564391068740E-003,-9.6002536920095061E-005;-9.8840028701230604,-27.960808274454710,5.8510049547197518,3.0340769016485919E-003,-1.5453347746802559E-003,-7.1226928057482376E-004
-6.5541185995734372E-003,-3.4936436622077351E-003,1.9542375157432934E-004,6.3050679542975233E-006,-6.5987676567917800E-006,-1.2056364738108506E-007;3.4941996004889724,3.5386267511840139,-9.2887542654330746E-002,-5.4627184779594976E-003,5.6588432860207186E-003,9.8835374391112132E-005;5.9608097031045739,6.9407873318823174,-0.35793703548179251,-4.5238946701678167E-003,3.6238193301195314E-003,1.1682204710012824E-004;14.689039644491203,-13.469382505838793,-0.24036089631461449,2.6292609730089642E-003,2.7159495517381184E-003,-2.3975134788572509E-005;17.061185880860823,-24.817162644055717,0.11787628106647290,2.5663815311892748E-003,1.7963718959208680E-003,-9.6135809852627247E-005;-9.5800710008878820,-28.113840686727738,5.7794657433094097,3.0445010553766128E-003,-1.5153011529530839E-003,-7.1849907348179611E-004
-5.8827152266325245E-003,-4.1076260116078124E-003,1.8215588508601241E-004,7.0985980090393091E-006,-5.6622496170740557E-006,-1.4432053413067168E-007;2.9084425400900566,4.0601259775754368,-8.1936841463875726E-002,-6.2275545490541569E-003,4.7523103793365613E-003,1.1969987012275585E-004;5.4971653555654969,7.2894909179112251,-0.34556719989222318,-4.7462595641837779E-003,3.3477108853959066E-003,1.3051033690453354E-004;14.949203498425081,-13.195287261977695,-0.24271330913032194,2.5738677078378188E-003,2.7657718865665378E-003,-2.3071878254418321E-005;17.316894023729350,-24.636182487870247,0.10825647003754610,2.5477341958817824E-003,1.8231997148843554E-003,-9.6258674717468432E-005;-9.2751145401024129,-28.263866142858259,5.7073083247793335,3.0545687809503219E-003,-1.4851966648172189E-003,-7.2463332484897338E-004
-5.1395234961183565E-003,-4.6228127032658054E-003,1.6666174109594169E-004,7.7385781010639196E-006,-4.6273613444109663E-006,-1.6501843558142585E-007;2.2539132646696221,4.4857855711933325,-6.9050829619163159E-002,-6.8358475728180915E-003,3.7467380499531578E-003,1.3747063915480926E-004;5.0121242919223423,7.6098393024619195,-0.33184900559176778,-4.9516309482246085E-003,3.0568992442967023E-003,1.4377752145505195E-004;15.203783855172412,-12.916265025015646,-0.24497502870794544,2.5175945223854753E-003,2.8144873360286642E-003,-2.2161324054848717E-005;17.570723325345185,-24.452529051700267,9.8624893582446027E-002,2.5288050216289194E-003,1.8498370149790874E-003,-9.6371115821498323E-005;-8.9691691143547665,-28.410877859662858,5.6345422821415339,3.0642804202749641E-003,-1.4550273747734298E-003,-7.3067146335509161E-004
-4.3404830311688323E-003,-5.0307402566958067E-003,1.4926646695613893E-004,8.2142378440879370E-006,-3.5217452720924630E-006,-1.8229229500601188E-007;1.5468636056773148,4.8071299993790308,-5.4558087912897305E-002,-7.2766143520795225E-003,2.6708708946357696E-003,1.5178438711933433E-004;4.5074443710437118,7.9004187608816414,-0.31682805032876282,-5.1388486464116591E-003,2.7525299273231706E-003,1.5655416501950055E-004;15.452693773697479,-12.632427102198918,-0.24714534151680334,2.4604624664701321E-003,2.8620835716729048E-003,-2.1243797161572914E-005;17.822645697349721,-24.266221531745469,8.8982594832340209E-002,2.5095959278860938E-003,1.8762809086652465E-003,-9.6473118174177606E-005;-8.6622703108457291,-28.554869658884900,5.5611772537598911,3.0736364190942734E-003,-1.4247993155727201E-003,-7.3661295356323942E-004
-3.5023368082150201E-003,-5.3257399707806680E-003,1.3032571868682501E-004,8.5202404664151175E-006,-2.3734506366574838E-006,-1.9589694990141884E-007;0.80435676776048992,5.0185891362573143,-3.8817254626229078E-002,-7.5445670630443513E-003,1.5538583294388247E-003,1.6240311544233157E-004;3.9849960124041806,8.1599340194941217,-0.30055674728386489,-5.3068261532516524E-003,2.4358249592780533E-003,1.6877371066186279E-004;15.695848426623808,-12.343886020033997,-0.24922356659003400,2.4024927603444658E-003,2.9085485355988460E-003,-2.0319623784981774E-005;18.072633245878464,-24.077279413359204,7.9330618384738746E-002,2.4901088843563251E-003,1.9025285003249561E-003,-9.6564667434155177E-005;-8.3544536670295724,-28.695835963637641,5.4872229296808088,3.0826373265401951E-003,-1.3945184806218778E-003,-7.4245729751009324E-004
-2.6421046276661033E-003,-5.5049205393143848E-003,1.1021380538247150E-004,8.6563011762756284E-006,-1.2098055441652843E-006,-2.0570331377585528E-007;4.3715885757130563E-002,5.1174777282430766,-2.2204658951858053E-002,-7.6397043796849976E-003,4.2406890143289436E-004,1.6920972292807249E-004;3.4467535629020754,8.3872156404723466,-0.28309396338106046,-5.4545747904599078E-003,2.1080791205439807E-003,1.8037374653367960E-004;15.933165116357301,-12.050755497475526,-0.25120905562155277,2.3437067764425319E-003,2.9538704365267743E-003,-1.9389130849719047E-005;18.320658276369631,-23.885722471854244,6.9670010239446925E-002,2.4703459066763222E-003,1.9285768865643870E-003,-9.6645749897808503E-005;-8.0457546602883205,-28.833771794105463,5.4126890478146867,3.0912837949005896E-003,-1.3641908167753996E-003,-7.4820403608742215E-004
-1.7766066690234656E-003,-5.5680488008448652E-003,8.9312526469485955E-005,8.6265830747288514E-006,-5.6515407007251470E-008,-2.1168866189323364E-007;-0.71797411374066966,5.1038676863674137,-5.1027041201820783E-003,-7.5666711767417641E-003,-6.9185887905388248E-004,1.7219772956419079E-004;2.8947846670622841,8.5812273781529349,-0.26450458907149310,-5.5812190889194379E-003,1.7706618426724015E-003,1.9129618381071088E-004;16.164563289436835,-11.753150419267840,-0.25310119301468315,2.2841260222462175E-003,2.9980377502815268E-003,-1.8452645552164691E-005;18.566693297946081,-23.691570773206710,6.0001817734069103E-002,2.4503090522254066E-003,1.9544231578754951E-003,-9.6716352517812074E-005;-7.7362086976228017,-28.968672762548735,5.3375853899917685,3.0995765794909697E-003,-1.3338222176294255E-003,-7.5385275017436019E-004
-9.2205456983088512E-004,-5.5173529441679987E-003,6.8001191060393894E-005,8.4389663677125898E-006,1.0629849511672337E-006,-2.1392304562849562E-007;-1.4642932594999112,4.9803787405643485,1.2110508763718554E-002,-7.3339872273644477E-003,-1.7696983488056362E-003,1.7145706350431291E-004;2.3312385132237652,8.7410736994273837,-0.24485911893057219,-5.6860045187591491E-003,1.4250176559942134E-003,2.0148697904187780E-004;16.389964549238865,-11.451186809096859,-0.25489939589040705,2.2237721245109707E-003,3.0410392228579358E-003,-1.7510494993882441E-005;18.810711027390603,-23.494844674544183,5.0327089476586873E-002,2.4300004161898095E-003,1.9800644012233385E-003,-9.6776462941551613E-005;-7.4258511053555658,-29.100535067667078,5.2619217779179683,3.1075165385427181E-003,-1.3034185173921211E-003,-7.5940306149888343E-004
-9.3718232282272789E-005,-5.3572734395428492E-003,4.6648106568267995E-005,8.1042777528296512E-006,2.1279323524073208E-006,-2.1255380035952523E-007;-2.1798334280530693,4.7519141500114657,2.9070018711235421E-002,-6.9532350526443241E-003,-2.7880553548641903E-003,1.6715781656827047E-004;1.7583335129425186,8.8660071210178533,-0.22423325864277346,-5.7683017530106000E-003,1.0726618989518081E-003,2.1089594280537162E-004;16.609292667174710,-11.144981802361711,-0.25660311406239600,2.1626668149033767E-003,3.0828638747833013E-003,-1.6563005882332084E-005;19.052684392742936,-23.295564824344286,4.0646875273449755E-002,2.4094221279499228E-003,2.0054977032057390E-003,-9.6826069561242899E-005;-7.1147171188463494,-29.229355488378637,5.1857080690584265,3.1151046330490238E-003,-1.2729854853701574E-003,-7.6485463322330390E-004
