0.99904489016626030,9.5510983373969793E-004,0.0000000000000000,1.0000000000000000E-004,1000
-9.5510983373969793E-004,0.0000000000000000,0.0000000000000000,0.0000000000000000,-9.5510983373969793E-004,0.0000000000000000;0.99904489016626030,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.99904489016626030,0.0000000000000000;-1.0003979623849657,0.0000000000000000,0.0000000000000000,0.0000000000000000,-1.4203979623849659,0.0000000000000000
-9.5033825492931801E-004,-9.5352116246153848E-005,0.0000000000000000,9.5352116243156219E-005,-9.5034302589045740E-004,0.0000000000000000;0.99405382700311584,9.9738065172665008E-002,0.0000000000000000,-9.9738064920656275E-002,0.99405383175845208,0.0000000000000000;-0.99541275837071885,-0.14180419872305136,0.0000000000000000,9.9370334190733892E-002,-1.4133537513458243,0.0000000000000000
-9.3607116276346147E-004,-1.8975198236148748E-004,0.0000000000000000,1.8975198231694837E-004,-9.3608070457607722E-004,0.0000000000000000;0.97913050653715583,0.19847958103772059,0.0000000000000000,-0.19847958049585562,0.97913051595791500,0.0000000000000000;-0.98065394584136623,-0.28222271540293581,0.0000000000000000,0.19486117621923668,-1.3929095588973257,0.0000000000000000
-9.1245106164973620E-004,-2.8225638607572894E-004,0.0000000000000000,2.8225638586565669E-004,-9.1246537413675294E-004,0.0000000000000000;0.95442403761512506,0.29523795499517930,0.0000000000000000,-0.29523795403868169,0.95442405154050891,0.0000000000000000;-0.95667930278911517,-0.42000147589730558,0.0000000000000000,0.28322475368261368,-1.3609514665874889,0.0000000000000000
-8.7971390818189661E-004,-3.7194105394846715E-004,0.0000000000000000,3.7194105331868896E-004,-8.7973299113332693E-004,0.0000000000000000;0.92018127908226122,0.38904640933938600,0.0000000000000000,-0.38904640770971277,0.92018129731644238,0.0000000000000000;-0.92432134836746138,-0.55411671409894458,0.0000000000000000,0.36225685600274971,-1.3201112457302291,0.0000000000000000
-8.3818675354384298E-004,-4.5790988640928511E-004,0.0000000000000000,4.5790988494130285E-004,-8.3821060676520691E-004,0.0000000000000000;0.87674437325480692,0.47896764098796424,0.0000000000000000,-0.47896763825702471,0.87674439561735340,0.0000000000000000;-0.88457550134921570,-0.68382282928247151,0.0000000000000000,0.43089506764894703,-1.2732362069948624,0.0000000000000000
-7.8828447572488981E-004,-5.3930391129549369E-004,0.0000000000000000,5.3930390838629000E-004,-7.8831309909677355E-004,0.0000000000000000;0.82454732734978187,0.56410318671175030,0.0000000000000000,-0.56410318226068989,0.82454735373772059,0.0000000000000000;-0.83849226398049947,-0.80865108657513241,0.0000000000000000,0.48905850147534646,-1.2229589502629188,0.0000000000000000
-7.3050563419648396E-004,-6.1530986642621829E-004,0.0000000000000000,6.1530986128468320E-004,-7.3053902774168449E-004,0.0000000000000000;0.76411167702881733,0.64360240029093574,0.0000000000000000,-0.64360239330628866,0.76411170748664314,0.0000000000000000;-0.78709297708932269,-0.92837413760607068,0.0000000000000000,0.53735960976053720,-1.1714487360306149,0.0000000000000000
-6.6542748846879862E-004,-6.8516832545805449E-004,0.0000000000000000,6.8516831711988894E-004,-6.6546565242297747E-004,0.0000000000000000;0.69604127538414984,0.71667095190008467,0.0000000000000000,-0.71667094138922460,0.69604131017752835,0.0000000000000000;-0.73131560492951908,-1.0429545579603052,0.0000000000000000,0.57680783380869793,-1.1203331615858521,0.0000000000000000
-5.9370023029996395E-004,-7.4818128583080585E-004,0.0000000000000000,7.4818127319280952E-004,-5.9374316518135458E-004,0.0000000000000000;0.62101625943335392,0.78257876479833777,0.0000000000000000,-0.78257874962519625,0.62101629912185508,0.0000000000000000;-0.67198751219016395,-1.1524917590794013,0.0000000000000000,0.60857276593989884,-1.0707333222107014,0.0000000000000000
