0.99904489016626030,9.5510983373969793E-004,0.0000000000000000,1.0000000000000000E-004,1000
-9.5510983373969793E-004,0.0000000000000000,0.0000000000000000,0.0000000000000000,-9.5510983373969793E-004,0.0000000000000000;0.99904489016626030,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.99904489016626030,0.0000000000000000;0.49904489016626030,0.86602541835490165,0.0000000000000000,-0.89200618090554873,0.51401623687124809,0.0000000000000000
-9.5033825492931801E-004,-9.5352116246153848E-005,0.0000000000000000,9.5352116243156219E-005,-9.5034302589045740E-004,0.0000000000000000;0.99405382700311584,9.9738065172665008E-002,0.0000000000000000,-9.9738064920656275E-002,0.99405383175845208,0.0000000000000000;0.40750004479816604,0.91301557532117517,0.0000000000000000,-0.93735850292028766,0.42501739582506182,0.0000000000000000
-9.3607116276346147E-004,-1.8975198236148748E-004,0.0000000000000000,1.8975198231694837E-004,-9.3608070457607722E-004,0.0000000000000000;0.97913050653715583,0.19847958103772059,0.0000000000000000,-0.19847958049585562,0.97913051595791500,0.0000000000000000;0.31188756023345821,0.95089297951245433,0.0000000000000000,-0.97328464560934114,0.33194286510039184,0.0000000000000000
-9.1245106164973620E-004,-2.8225638607572894E-004,0.0000000000000000,2.8225638586565669E-004,-9.1246537413675294E-004,0.0000000000000000;0.95442403761512506,0.29523795499517930,0.0000000000000000,-0.29523795403868169,0.95442405154050891,0.0000000000000000;0.21316984118297458,0.97930536884811259,0.0000000000000000,-0.99941415406158840,0.23590595885829596,0.0000000000000000
-8.7971390818189661E-004,-3.7194105394846715E-004,0.0000000000000000,3.7194105331868896E-004,-8.7973299113332693E-004,0.0000000000000000;0.92018127908226122,0.38904640933938600,0.0000000000000000,-0.38904640770971277,0.92018129731644238,0.0000000000000000;0.11233868376889505,0.99801354183615976,0.0000000000000000,-1.0155301830699148,0.13805032885270629,0.0000000000000000
-8.3818675354384298E-004,-4.5790988640928511E-004,0.0000000000000000,4.5790988494130285E-004,-8.3821060676520691E-004,0.0000000000000000;0.87674437325480692,0.47896764098796424,0.0000000000000000,-0.47896763825702471,0.87674439561735340,0.0000000000000000;1.0399840953561142E-002,1.0068931194057396,0.0000000000000000,-1.0215701271535116,3.9524583663358717E-002,0.0000000000000000
-7.8828447572488981E-004,-5.3930391129549369E-004,0.0000000000000000,5.3930390838629000E-004,-7.8831309909677355E-004,0.0000000000000000;0.82454732734978187,0.56410318671175030,0.0000000000000000,-0.56410318226068989,0.82454735373772059,0.0000000000000000;-9.1642227128111348E-002,1.0059338052038793,0.0000000000000000,-1.0176213492340853,-5.8542173325760852E-002,0.0000000000000000
-7.3050563419648396E-004,-6.1530986642621829E-004,0.0000000000000000,6.1530986128468320E-004,-7.3053902774168449E-004,0.0000000000000000;0.76411167702881733,0.64360240029093574,0.0000000000000000,-0.64360239330628866,0.76411170748664314,0.0000000000000000;-0.19279894947888296,0.99523629011878290,0.0000000000000000,-1.0039124860700925,-0.15506283685227298,0.0000000000000000
-6.6542748846879862E-004,-6.8516832545805449E-004,0.0000000000000000,6.8516831711988894E-004,-6.6546565242297747E-004,0.0000000000000000;0.69604127538414984,0.71667095190008467,0.0000000000000000,-0.71667094138922460,0.69604131017752835,0.0000000000000000;-0.29211117878924131,0.97500704248105752,0.0000000000000000,-0.98080104171897642,-0.24901197053099369,0.0000000000000000
-5.9370023029996395E-004,-7.4818128583080585E-004,0.0000000000000000,7.4818127319280952E-004,-5.9374316518135458E-004,0.0000000000000000;0.62101625943335392,0.78257876479833777,0.0000000000000000,-0.78257874962519625,0.62101629912185508,0.0000000000000000;-0.38866133546067588,0.94555129871274723,0.0000000000000000,-0.94875813683336918,-0.33944204776605569,0.0000000000000000
-5.1604048718772847E-004,-8.0371914298642873E-004,0.0000000000000000,8.0371912486010407E-004,-5.1608819386129935E-004,0.0000000000000000;0.53978625440755235,0.84066731002332296,0.0000000000000000,-0.84066728896428333,0.53978629991156801,0.0000000000000000;-0.48158392347911472,0.90726461677185521,0.0000000000000000,-0.90835135504719400,-0.42549591975664108,0.0000000000000000
-4.3322416205467037E-004,-8.5122698117641850E-004,0.0000000000000000,8.5122695635978039E-004,-4.3327664178614118E-004,0.0000000000000000;0.45316288373372610,0.89035618620195245,0.0000000000000000,-0.89035615802078161,0.45316293639082528,0.0000000000000000;-0.57007427497774110,0.86062337605022166,0.0000000000000000,-0.86022662207526990,-0.50641542405809936,0.0000000000000000
-3.4607868067069645E-004,-8.9023011800136442E-004,0.0000000000000000,8.9023008536687307E-004,-3.4613593516611172E-004,0.0000000000000000;0.36201165954918457,0.93114891873413441,0.0000000000000000,-0.93114888227374881,0.36201172115535918,0.0000000000000000;-0.65339547075889892,0.80617460439782562,0.0000000000000000,-0.80508998073338167,-0.58154627339502463,0.0000000000000000
-2.5547472427441437E-004,-9.2033884728287758E-004,0.0000000000000000,9.2033880587846957E-004,-2.5553675570141865E-004,0.0000000000000000;0.26724333477591811,0.96263792040526830,0.0000000000000000,-0.96263787469318818,0.26724340760771770,0.0000000000000000;-0.73088346461090492,0.74452548951260422,0.0000000000000000,-0.74369000338868185,-0.65033954530412574,0.0000000000000000
-1.6231752999883555E-004,-9.4125233287822299E-004,0.0000000000000000,9.4125228203757597E-004,-1.6238434098646360E-004,0.0000000000000000;0.16980480316258084,0.98450856386224062,0.0000000000000000,-0.98450850822570579,0.16980488997679072,0.0000000000000000;-0.80195050599779105,0.67633289301879829,0.0000000000000000,-0.67680143180864227,-0.71235022133603643,0.0000000000000000
-6.7537846025307171E-005,-9.5276161453154544E-004,0.0000000000000000,9.5276155398906241E-004,-6.7609439639909705E-005,0.0000000000000000;7.0669638218563965E-002,0.99654232526168773,0.0000000000000000,-0.99654225944769115,7.0669742226946552E-002,0.0000000000000000;-0.86608700657750748,0.60229313650431082,0.0000000000000000,-0.60521047151529073,-0.76723329956149200,0.0000000000000000
2.7917368160501824E-005,-9.5475169572800331E-004,0.0000000000000000,9.5475162573349041E-004,2.7840988464609884E-005,0.0000000000000000;-2.9171634427273215E-002,0.99861896767997171,0.0000000000000000,-0.99861889197497256,-2.9171509609652247E-002,0.0000000000000000;-0.92286203069438122,0.52313227469896217,0.0000000000000000,-0.52970200914425736,-0.81473803102159492,0.0000000000000000
1.2309440348981862E-004,-9.4720269268957721E-004,0.0000000000000000,9.4720261411726828E-004,1.2301323394535416E-004,0.0000000000000000;-0.12872143404701225,0.99071774246891109,0.0000000000000000,-0.99071765781259891,-0.12872128448025716,0.0000000000000000;-0.97192260953185272,0.43959701625815695,0.0000000000000000,-0.45104887847219771,-0.85470081805017029,0.0000000000000000
2.1704233047000306E-004,-9.3019003303222985E-004,0.0000000000000000,9.3018994747873587E-004,2.1695636709661653E-004,0.0000000000000000;-0.22698509232464703,0.97291759655373267,0.0000000000000000,-0.97291750464124116,-0.22698491384853259,0.0000000000000000;-1.0129920849740586,0.35244640073025885,0.0000000000000000,-0.37000318090850520,-0.88703727022343770,0.0000000000000000
3.0882250056880970E-004,-9.0388370209973595E-004,0.0000000000000000,9.0388361196565249E-004,3.0873173929604216E-004,0.0000000000000000;-0.32298079176472005,0.94539638360228562,0.0000000000000000,-0.94539628696930444,-0.32298058012728326,0.0000000000000000;-1.0458676848991395,0.26244429366142380,0.0000000000000000,-0.28728957260352200,-0.91173385227605808,0.0000000000000000
3.9751792488824369E-004,-8.6854654450499252E-004,0.0000000000000000,8.6854645305523719E-004,3.9742236169860957E-004,0.0000000000000000;-0.41574937569655906,0.90842908694767710,0.0000000000000000,-0.90842898903330238,-0.41574912670370956,0.0000000000000000;-1.0704175192624761,0.17035272188179190,0.0000000000000000,-0.20360036298319409,-0.92883948684623796,0.0000000000000000
4.8224243641873857E-004,-8.2453163784977342E-004,0.0000000000000000,8.2453154924834156E-004,4.8214206750701210E-004,0.0000000000000000;-0.50436393185508699,0.86238507202085968,0.0000000000000000,-0.86238497720368834,-0.50436364153714663,0.0000000000000000;-1.0865771684602248,7.6926038437103703E-002,0.0000000000000000,-0.11959222629656811,-0.93845740088450347,0.0000000000000000
5.6214954432688583E-004,-7.7227876486457147E-004,0.0000000000000000,7.7227868418009674E-004,5.6204436627078263E-004,0.0000000000000000;-0.58793905378167166,0.80772439574667498,0.0000000000000000,-0.80772430935041473,-0.58793871857181268,0.0000000000000000;-1.0943460143348918,-1.7094118660639004E-002,0.0000000000000000,-3.5884305108084276E-002,-0.94073743357183759,0.0000000000000000
6.3644089180716864E-004,-7.1231001921851129E-004,0.0000000000000000,7.1230995239810835E-004,6.3633090174392741E-004,0.0000000000000000;-0.66563968750769853,0.74499320977953787,0.0000000000000000,-0.74499313804538059,-0.66563930442651509,0.0000000000000000;-1.0937834416467800,-0.11098312819598287,0.0000000000000000,4.6942521576326404E-002,-0.93586895937230252,0.0000000000000000
7.0437423298938659E-004,-6.4522458890557688E-004,0.0000000000000000,6.4522454271532181E-004,7.0425942879218789E-004,0.0000000000000000;-0.73668947512746730,0.67481830350897909,0.0000000000000000,-0.67481825353315172,-0.73668904196736240,0.0000000000000000;-1.0850050153177098,-0.20403701487495729,0.0000000000000000,0.12834542688469763,-0.92407452449899541,0.0000000000000000
7.6527084919905219E-004,-5.7169276933073080E-004,0.0000000000000000,5.7169275126250831E-004,7.6515122964697455E-004,0.0000000000000000;-0.80037851189406173,0.59790084136059074,0.0000000000000000,-0.59790082099670261,-0.80037802739685115,0.0000000000000000;-1.0681787172822543,-0.29557548012440565,0.0000000000000000,0.20781868834238709,-0.90560424941431039,0.0000000000000000
8.1852233047001140E-004,-4.9244926591619342E-004,0.0000000000000000,4.9244928406171192E-004,8.1839789540507138E-004,0.0000000000000000;-0.85607043933199489,0.51500935696816308,0.0000000000000000,-0.51500937469525987,-0.85606990335297739,0.0000000000000000;-1.0435213070246256,-0.38494441225781006,0.0000000000000000,0.28489219136983129,-0.88073101388440700,0.0000000000000000
8.6359665455095728E-004,-4.0828585314698577E-004,0.0000000000000000,4.0828591604110352E-004,8.6346740501602834E-004,0.0000000000000000;-0.90320880349483645,0.42697207421797206,0.0000000000000000,-0.42697213897647451,-0.90320821714685129,0.0000000000000000;-1.0112948522082468,-0.47151795391755280,0.0000000000000000,0.35912954966528282,-0.84974641380534754,0.0000000000000000
