0.99904489016626030,9.5510983373969793E-004,0.0000000000000000,1.0000000000000000E-004,1000
-9.5510983373969793E-004,0.0000000000000000,0.0000000000000000,0.0000000000000000,-9.5510983373969793E-004,0.0000000000000000;0.99904489016626030,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.99904489016626030,0.0000000000000000;-1.0003979623849657,0.0000000000000000,0.0000000000000000,0.0000000000000000,-0.98339796238496568,0.0000000000000000
-9.5033825492931801E-004,-9.5352116246153848E-005,0.0000000000000000,9.5352116243156219E-005,-9.5034302589045740E-004,0.0000000000000000;0.99405382700311584,9.9738065172665008E-002,0.0000000000000000,-9.9738064920656275E-002,0.99405383175845208,0.0000000000000000;-0.99539971882637623,-9.8175955986738839E-002,0.0000000000000000,9.9889952683456976E-002,-0.97848389392273072,0.0000000000000000
-9.3607116276346147E-004,-1.8975198236148748E-004,0.0000000000000000,1.8975198231694837E-004,-9.3608070457607722E-004,0.0000000000000000;0.97913050653715583,0.19847958103772059,0.0000000000000000,-0.19847958049585562,0.97913051595791500,0.0000000000000000;-0.98044992695287558,-0.19537024140335002,0.0000000000000000,0.19888133320151916,-0.96377598724600566,0.0000000000000000
-9.1245106164973620E-004,-2.8225638607572894E-004,0.0000000000000000,2.8225638586565669E-004,-9.1246537413675294E-004,0.0000000000000000;0.95442403761512506,0.29523795499517930,0.0000000000000000,-0.29523795403868169,0.95442405154050891,0.0000000000000000;-0.95568328001213898,-0.29060805331922246,0.0000000000000000,0.29607804668908633,-0.93937738750736266,0.0000000000000000
-8.7971390818189661E-004,-3.7194105394846715E-004,0.0000000000000000,3.7194105331868896E-004,-8.7973299113332693E-004,0.0000000000000000;0.92018127908226122,0.38904640933938600,0.0000000000000000,-0.38904640770971277,0.92018129731644238,0.0000000000000000;-0.92132384762430819,-0.38292837760217951,0.0000000000000000,0.39058912598149265,-0.90546090287855574,0.0000000000000000
-8.3818675354384298E-004,-4.5790988640928511E-004,0.0000000000000000,4.5790988494130285E-004,-8.3821060676520691E-004,0.0000000000000000;0.87674437325480692,0.47896764098796424,0.0000000000000000,-0.47896763825702471,0.87674439561735340,0.0000000000000000;-0.87768441676713815,-0.47139101632128610,0.0000000000000000,0.48153172830176072,-0.86227030304742303,0.0000000000000000
-7.8828447572488981E-004,-5.3930391129549369E-004,0.0000000000000000,5.3930390838629000E-004,-7.8831309909677355E-004,0.0000000000000000;0.82454732734978187,0.56410318671175030,0.0000000000000000,-0.56410318226068989,0.82454735373772059,0.0000000000000000;-0.82516550878852746,-0.55508376655358960,0.0000000000000000,0.56803464544871451,-0.81012203384325410,0.0000000000000000
-7.3050563419648396E-004,-6.1530986642621829E-004,0.0000000000000000,6.1530986128468320E-004,-7.3053902774168449E-004,0.0000000000000000;0.76411167702881733,0.64360240029093574,0.0000000000000000,-0.64360239330628866,0.76411170748664314,0.0000000000000000;-0.76425401301031926,-0.63312978718060320,0.0000000000000000,0.64924248766123394,-0.74940724198605702,0.0000000000000000
-6.6542748846879862E-004,-6.8516832545805449E-004,0.0000000000000000,6.8516831711988894E-004,-6.6546565242297747E-004,0.0000000000000000;0.69604127538414984,0.71667095190008467,0.0000000000000000,-0.71667094138922460,0.69604131017752835,0.0000000000000000;-0.69552136200801318,-0.70469517798920955,0.0000000000000000,0.72432068977591602,-0.68059397022818224,0.0000000000000000
-5.9370023029996395E-004,-7.4818128583080585E-004,0.0000000000000000,7.4818127319280952E-004,-5.9374316518135458E-004,0.0000000000000000;0.62101625943335392,0.78257876479833777,0.0000000000000000,-0.78257874962519625,0.62101629912185508,0.0000000000000000;-0.61962115958895136,-0.76899677965710889,0.0000000000000000,0.79246147126749800,-0.60422934766425018,0.0000000000000000
-5.1604048718772847E-004,-8.0371914298642873E-004,0.0000000000000000,8.0371912486010407E-004,-5.1608819386129935E-004,0.0000000000000000;0.53978625440755235,0.84066731002332296,0.0000000000000000,-0.84066728896428333,0.53978629991156801,0.0000000000000000;-0.53728616046982480,-0.82531018385129007,0.0000000000000000,0.85289085770574491,-0.52094156327077945,0.0000000000000000
-4.3322416205467037E-004,-8.5122698117641850E-004,0.0000000000000000,8.5122695635978039E-004,-4.3327664178614118E-004,0.0000000000000000;0.45316288373372610,0.89035618620195245,0.0000000000000000,-0.89035615802078161,0.45316293639082528,0.0000000000000000;-0.44932449145910652,-0.87297791962833626,0.0000000000000000,0.90487683841555044,-0.43144137393885590,0.0000000000000000
-3.4607868067069645E-004,-8.9023011800136442E-004,0.0000000000000000,8.9023008536687307E-004,-3.4613593516611172E-004,0.0000000000000000;0.36201165954918457,0.93114891873413441,0.0000000000000000,-0.93114888227374881,0.36201172115535918,0.0000000000000000;-0.35661499853149753,-0.91141775567545014,0.0000000000000000,0.94773869208215167,-0.33652286322326763,0.0000000000000000
-2.5547472427441437E-004,-9.2033884728287758E-004,0.0000000000000000,9.2033880587846957E-004,-2.5553675570141865E-004,0.0000000000000000;0.26724333477591811,0.96263792040526830,0.0000000000000000,-0.96263787469318818,0.26724340760771770,0.0000000000000000;-0.26010160363970786,-0.94013102797104464,0.0000000000000000,0.98085745737274044,-0.23706313637937801,0.0000000000000000
-1.6231752999883555E-004,-9.4125233287822299E-004,0.0000000000000000,9.4125228203757597E-004,-1.6238434098646360E-004,0.0000000000000000;0.16980480316258084,0.98450856386224062,0.0000000000000000,-0.98450850822570579,0.16980488997679072,0.0000000000000000;-0.16078656065040903,-0.95871086977826925,0.0000000000000000,1.0036874585866224,-0.13402061444004487,0.0000000000000000
