-9.5510983373969793E-004 0 0 0 -9.5510983373969793E-004 0 0.99904489016626030
0.99904489016626030 0 0 0 0.99904489016626030 0 9.5510983373969793E-004
0.49904489016626030 0.86602541835490165 0 -0.86602541835490165 0.49904489016626030 0 0
#
#
#MEANING OF ROWS:	x, y, z, vx, vy, vz, mass in mu:s
#MEANING OF COLUMNS:	Sun, Jupiter, test particle
#For this system: mu = 9.5510983373969793E-004, 1-mu = 0.99904489016626030, 0.5-mu = 0.49904489016626030
#L2: 1.06886003514732759,0 ; L1: 0.93233628032428627,0 ; L3: -1.00039796238496574,0
#L4: 0.49904489016626030,0.86602541835490165 ; L5: 0.49904489016626030,-0.86602541835490165
