0.99904489016626030,9.5510983373969793E-004,0.0000000000000000,1.0000000000000000E-004,1000
-9.5510983373969793E-004,0.0000000000000000,0.0000000000000000,0.0000000000000000,-9.5510983373969793E-004,0.0000000000000000;0.99904489016626030,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.99904489016626030,0.0000000000000000;0.49904489016626030,0.86602541835490165,0.0000000000000000,-0.84004465580425458,0.48407354346127252,0.0000000000000000
-9.5033825492931801E-004,-9.5352116246153848E-005,0.0000000000000000,9.5352116243156219E-005,-9.5034302589045740E-004,0.0000000000000000;0.99405382700311584,9.9738065172665008E-002,0.0000000000000000,-9.9738064920656275E-002,0.99405383175845208,0.0000000000000000;0.41268689731419322,0.91002495598685118,0.0000000000000000,-0.88568176532941345,0.39517039535285781,0.0000000000000000
-9.3607116276346147E-004,-1.8975198236148748E-004,0.0000000000000000,1.8975198231694837E-004,-9.3608070457607722E-004,0.0000000000000000;0.97913050653715583,0.19847958103772059,0.0000000000000000,-0.19847958049585562,0.97913051595791500,0.0000000000000000;0.32220154616863378,0.94492233181291474,0.0000000000000000,-0.92252988682567993,0.30215311614780038,0.0000000000000000
-9.1245106164973620E-004,-2.8225638607572894E-004,0.0000000000000000,2.8225638586565669E-004,-9.1246537413675294E-004,0.0000000000000000;0.95442403761512506,0.29523795499517930,0.0000000000000000,-0.29523795403868169,0.95442405154050891,0.0000000000000000;0.22848566798034883,0.97034341062821250,0.0000000000000000,-0.95023687122597267,0.20577171748404879,0.0000000000000000
-8.7971390818189661E-004,-3.7194105394846715E-004,0.0000000000000000,3.7194105331868896E-004,-8.7973299113332693E-004,0.0000000000000000;0.92018127908226122,0.38904640933938600,0.0000000000000000,-0.38904640770971277,0.92018129731644238,0.0000000000000000;0.13246934198814361,0.98599044600067620,0.0000000000000000,-0.96849012389518929,0.10680448680001020,0.0000000000000000
-8.3818675354384298E-004,-4.5790988640928511E-004,0.0000000000000000,4.5790988494130285E-004,-8.3821060676520691E-004,0.0000000000000000;0.87674437325480692,0.47896764098796424,0.0000000000000000,-0.47896763825702471,0.87674439561735340,0.0000000000000000;3.5111851414630676E-002,0.99164506780185457,0.0000000000000000,-0.97701861648941635,6.0612068189447917E-003,0.0000000000000000
-7.8828447572488981E-004,-5.3930391129549369E-004,0.0000000000000000,5.3930390838629000E-004,-7.8831309909677355E-004,0.0000000000000000;0.82454732734978187,0.56410318671175030,0.0000000000000000,-0.56410318226068989,0.82454735373772059,0.0000000000000000;-6.2602635455983921E-002,0.98717159359284379,0.0000000000000000,-0.97559638841701701,-9.5613630194259711E-002,0.0000000000000000
-7.3050563419648396E-004,-6.1530986642621829E-004,0.0000000000000000,6.1530986128468320E-004,-7.3053902774168449E-004,0.0000000000000000;0.76411167702881733,0.64360240029093574,0.0000000000000000,-0.64360239330628866,0.76411170748664314,0.0000000000000000;-0.15966981230718039,0.97252064977977237,0.0000000000000000,-0.96404761961403473,-0.19733789049347533,0.0000000000000000
-6.6542748846879862E-004,-6.8516832545805449E-004,0.0000000000000000,6.8516831711988894E-004,-6.6546565242297747E-004,0.0000000000000000;0.69604127538414984,0.71667095190008467,0.0000000000000000,-0.71667094138922460,0.69604131017752835,0.0000000000000000;-0.25507057026925001,0.94773305885458592,0.0000000000000000,-0.94225333426893387,-0.29818946547104130,0.0000000000000000
-5.9370023029996395E-004,-7.4818128583080585E-004,0.0000000000000000,7.4818127319280952E-004,-5.9374316518135458E-004,0.0000000000000000;0.62101625943335392,0.78257876479833777,0.0000000000000000,-0.78257874962519625,0.62101629912185508,0.0000000000000000;-0.34777708654314832,0.91294391514151230,0.0000000000000000,-0.91015976040444424,-0.39720489955447169,0.0000000000000000
-5.1604048718772847E-004,-8.0371914298642873E-004,0.0000000000000000,8.0371912486010407E-004,-5.1608819386129935E-004,0.0000000000000000;0.53978625440755235,0.84066731002332296,0.0000000000000000,-0.84066728896428333,0.53978629991156801,0.0000000000000000;-0.43675983091194770,0.86838673266129851,0.0000000000000000,-0.86778831804812062,-0.49337939331848579,0.0000000000000000
-4.3322416205467037E-004,-8.5122698117641850E-004,0.0000000000000000,8.5122695635978039E-004,-4.3327664178614118E-004,0.0000000000000000;0.45316288373372610,0.89035618620195245,0.0000000000000000,-0.89035615802078161,0.45316293639082528,0.0000000000000000;-0.52099564863477876,0.81439750473051464,0.0000000000000000,-0.81524713416773953,-0.58566864735892088,0.0000000000000000
-3.4607868067069645E-004,-8.9023011800136442E-004,0.0000000000000000,8.9023008536687307E-004,-3.4613593516611172E-004,0.0000000000000000;0.36201165954918457,0.93114891873413441,0.0000000000000000,-0.93114888227374881,0.36201172115535918,0.0000000000000000;-0.59947706320148120,0.75141846600320383,0.0000000000000000,-0.75274388103283041,-0.67299305785780006,0.0000000000000000
-2.5547472427441437E-004,-9.2033884728287758E-004,0.0000000000000000,9.2033880587846957E-004,-2.5553675570141865E-004,0.0000000000000000;0.26724333477591811,0.96263792040526830,0.0000000000000000,-0.96263787469318818,0.26724340760771770,0.0000000000000000;-0.67122291575939574,0.68000129490030048,0.0000000000000000,-0.68059960275261233,-0.75424480463316224,0.0000000000000000
-1.6231752999883555E-004,-9.4125233287822299E-004,0.0000000000000000,9.4125228203757597E-004,-1.6238434098646360E-004,0.0000000000000000;0.16980480316258084,0.98450856386224062,0.0000000000000000,-0.98450850822570579,0.16980488997679072,0.0000000000000000;-0.73529041658558236,0.60080943989632285,0.0000000000000000,-0.59926303130677239,-0.82829837461019384,0.0000000000000000
-6.7537846025307171E-005,-9.5276161453154544E-004,0.0000000000000000,9.5276155398906241E-004,-6.7609439639909705E-005,0.0000000000000000;7.0669638218563965E-002,0.99654232526168773,0.0000000000000000,-0.99654225944769115,7.0669742226946552E-002,0.0000000000000000;-0.79078862471309275,0.51461920044111253,0.0000000000000000,-0.50932470115884798,-0.89402502313688303,0.0000000000000000
2.7917368160501824E-005,-9.5475169572800331E-004,0.0000000000000000,9.5475162573349041E-004,2.7840988464609884E-005,0.0000000000000000;-2.9171634427273215E-002,0.99861896767997171,0.0000000000000000,-0.99861889197497256,-2.9171509609652247E-002,0.0000000000000000;-0.83689329221521414,0.42231914748339355,0.0000000000000000,-0.41152995895035788,-0.95031157558909019,0.0000000000000000
