0.99904489016626030,9.5510983373969793E-004,0.0000000000000000,1.0000000000000000E-004,1000
-9.5510983373969793E-004,0.0000000000000000,0.0000000000000000,0.0000000000000000,-9.5510983373969793E-004,0.0000000000000000;0.99904489016626030,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.99904489016626030,0.0000000000000000;0.49904489016626030,0.86602541835490165,0.0000000000000000,-0.88334592672199963,0.50902578796958553,0.0000000000000000
-9.5033825492931801E-004,-9.5352116246153848E-005,0.0000000000000000,9.5352116243156219E-005,-9.5034302589045740E-004,0.0000000000000000;0.99405382700311584,9.9738065172665008E-002,0.0000000000000000,-9.9738064920656275E-002,0.99405383175845208,0.0000000000000000;0.40836451812903046,0.91251713293996117,0.0000000000000000,-0.92874578594876167,0.42004265968934001,0.0000000000000000
-9.3607116276346147E-004,-1.8975198236148748E-004,0.0000000000000000,1.8975198231694837E-004,-9.3608070457607722E-004,0.0000000000000000;0.97913050653715583,0.19847958103772059,0.0000000000000000,-0.19847958049585562,0.97913051595791500,0.0000000000000000;0.31360654244085678,0.94989777573754142,0.0000000000000000,-0.96482564507091739,0.32697598702152625,0.0000000000000000
-9.1245106164973620E-004,-2.8225638607572894E-004,0.0000000000000000,2.8225638586565669E-004,-9.1246537413675294E-004,0.0000000000000000;0.95442403761512506,0.29523795499517930,0.0000000000000000,-0.29523795403868169,0.95442405154050891,0.0000000000000000;0.21572249339688623,0.97781123395682723,0.0000000000000000,-0.99121683105986280,0.23087746501331488,0.0000000000000000
-8.7971390818189661E-004,-3.7194105394846715E-004,0.0000000000000000,3.7194105331868896E-004,-8.7973299113332693E-004,0.0000000000000000;0.92018127908226122,0.38904640933938600,0.0000000000000000,-0.38904640770971277,0.92018129731644238,0.0000000000000000;0.11569412044781752,0.99600829479854702,0.0000000000000000,-1.0076842000817428,0.13283010493441275,0.0000000000000000
-8.3818675354384298E-004,-4.5790988640928511E-004,0.0000000000000000,4.5790988494130285E-004,-8.3821060676520691E-004,0.0000000000000000;0.87674437325480692,0.47896764098796424,0.0000000000000000,-0.47896763825702471,0.87674439561735340,0.0000000000000000;1.4519927970093927E-002,1.0043487866443306,0.0000000000000000,-1.0141277801026884,3.3928426229396381E-002,0.0000000000000000
-7.8828447572488981E-004,-5.3930391129549369E-004,0.0000000000000000,5.3930390838629000E-004,-7.8831309909677355E-004,0.0000000000000000;0.82454732734978187,0.56410318671175030,0.0000000000000000,-0.56410318226068989,0.82454735373772059,0.0000000000000000;-8.6798280023126478E-002,1.0028017516216128,0.0000000000000000,-1.0105809738511342,-6.4740989677314967E-002,0.0000000000000000
-7.3050563419648396E-004,-6.1530986642621829E-004,0.0000000000000000,6.1530986128468320E-004,-7.3053902774168449E-004,0.0000000000000000;0.76411167702881733,0.64360240029093574,0.0000000000000000,-0.64360239330628866,0.76411170748664314,0.0000000000000000;-0.18726851226851557,0.99144372012882642,0.0000000000000000,-0.99720554825074748,-0.16211790782322080,0.0000000000000000
-6.6542748846879862E-004,-6.8516832545805449E-004,0.0000000000000000,6.8516831711988894E-004,-6.6546565242297747E-004,0.0000000000000000;0.69604127538414984,0.71667095190008467,0.0000000000000000,-0.71667094138922460,0.69604131017752835,0.0000000000000000;-0.28592105574547078,0.97045522124465433,0.0000000000000000,-0.97428377870926219,-0.25718522541786470,0.0000000000000000
-5.9370023029996395E-004,-7.4818128583080585E-004,0.0000000000000000,7.4818127319280952E-004,-5.9374316518135458E-004,0.0000000000000000;0.62101625943335392,0.78257876479833777,0.0000000000000000,-0.78257874962519625,0.62101629912185508,0.0000000000000000;-0.38182003286902694,0.94011571560420581,0.0000000000000000,-0.94220822540665083,-0.34898367062619684,0.0000000000000000
-5.1604048718772847E-004,-8.0371914298642873E-004,0.0000000000000000,8.0371912486010407E-004,-5.1608819386129935E-004,0.0000000000000000;0.53978625440755235,0.84066731002332296,0.0000000000000000,-0.84066728896428333,0.53978629991156801,0.0000000000000000;-0.47407384051773449,0.90079717691033001,0.0000000000000000,-0.90146968855081089,-0.43662408883918247,0.0000000000000000
-4.3322416205467037E-004,-8.5122698117641850E-004,0.0000000000000000,8.5122695635978039E-004,-4.3327664178614118E-004,0.0000000000000000;0.45316288373372610,0.89035618620195245,0.0000000000000000,-0.89035615802078161,0.45316293639082528,0.0000000000000000;-0.56184431754200093,0.85295657360081822,0.0000000000000000,-0.85264391926838401,-0.51929713486977147,0.0000000000000000
