0.0000000000000000,0.0000000000000000,0.0000000000000000;0.38700000000000001,0.0000000000000000,0.0000000000000000;0.0000000000000000,-0.72299999999999998,0.0000000000000000;0.0000000000000000,1.0000000000000000,0.0000000000000000;-1.5240000000000000,0.0000000000000000,0.0000000000000000;5.2026000000000003,0.0000000000000000,0.0000000000000000;0.0000000000000000,-9.5549090000000003,0.0000000000000000;0.0000000000000000,19.218399999999999,0.0000000000000000;-30.109999999999999,0.0000000000000000,0.0000000000000000
2.1070381026870355E-006,-3.1824096541300763E-007,0.0000000000000000;5.1921995436385412E-002,-0.37630291518708420,0.0000000000000000;-0.38345995863033333,-0.61252940362581298,0.0000000000000000;0.33752493861980465,0.94131668517576172,0.0000000000000000;-1.4985513634362067,0.27658692160669418,0.0000000000000000;5.2004104760385967,-0.15098222358103700,0.0000000000000000;-0.11167176263041087,-9.5542594202386031,0.0000000000000000;7.8749404721924418E-002,19.218239379096623,0.0000000000000000;-30.109934565722661,6.2903511967237286E-002,0.0000000000000000
8.2201160003424468E-006,-1.3515245907989386E-006,0.0000000000000000;-0.36376742261074385,-7.2960715090523084E-002,0.0000000000000000;-0.64952938621844913,-0.31465375941265344,0.0000000000000000;0.63544070589784662,0.77215386871249203,0.0000000000000000;-1.4230421018125019,0.54393330687132813,0.0000000000000000;5.1938437437664566,-0.30183760820285116,0.0000000000000000;-0.22332788005383547,-9.5523107670669010,0.0000000000000000;0.15749756230580281,19.217757521108290,0.0000000000000000;-30.109738263089898,0.12580674201201156,0.0000000000000000
1.8100898147502340E-005,-2.9717759638411734E-006,0.0000000000000000;-9.0798737732998749E-002,0.36572125887944107,0.0000000000000000;-0.71607207045211441,7.9770617767371127E-002,0.0000000000000000;0.85878339911480372,0.51236503524767507,0.0000000000000000;-1.2999572585715318,0.79309334969413769,0.0000000000000000;5.1829053261179059,-0.45243918417977380,0.0000000000000000;-0.33495315940562914,-9.5490633038627450,0.0000000000000000;0.23624315508933982,19.216954437154072,0.0000000000000000;-30.109411092847797,0.18870941627952442,0.0000000000000000
3.1839953403474371E-005,-4.9555130472177118E-006,0.0000000000000000;0.36115718506589795,0.13758351589086867,0.0000000000000000;-0.56164221365589695,0.44947228352494323,0.0000000000000000;0.98134215490139887,0.19244032278704984,0.0000000000000000;-1.1333559562817002,1.0157025417632473,0.0000000000000000;5.1676044269405965,-0.60266019601401910,0.0000000000000000;-0.44653241113788789,-9.5445174728889750,0.0000000000000000;0.31498486554654787,19.215830143730635,0.0000000000000000;-30.108953056339448,0.25161126091490998,0.0000000000000000
4.9713722903406790E-005,-7.3162447639724906E-006,0.0000000000000000;0.18744968819390306,-0.33374172859952628,0.0000000000000000;-0.23314935742935619,0.67977606548477654,0.0000000000000000;0.98873602593122090,-0.15007212911511086,0.0000000000000000;-0.92874897873139750,1.2042494942243789,0.0000000000000000;5.1479539236637502,-0.75237420902369656,0.0000000000000000;-0.55805045117948660,-9.5386738952181194,0.0000000000000000;0.39372137631281023,19.214384662712298,0.0000000000000000;-30.108364155505143,0.31451200206382612,0.0000000000000000
7.1908987029043882E-005,-1.0254052499670718E-005,0.0000000000000000;-0.30866913380153455,-0.20787113591145731,0.0000000000000000;0.16780597146169043,0.69875121931747342,0.0000000000000000;0.88010211385000681,-0.47497411427676395,0.0000000000000000;-0.69293054644958219,1.3523249864995588,0.0000000000000000;5.1239703567963408,-0.90145521552724917,0.0000000000000000;-0.66949210308839924,-9.5315333706660503,0.0000000000000000;0.47245137021047889,19.212618021354260,0.0000000000000000;-30.107644392882126,0.37741136587306151,0.0000000000000000
9.8520844448699035E-005,-1.3952984869860000E-005,0.0000000000000000;-0.22024572604301224,0.30227743394034773,0.0000000000000000;0.51663569978154111,0.50045267180183772,0.0000000000000000;0.66819587167099681,-0.74413664285070713,0.0000000000000000;-0.43376741358661836,1.4548404758009077,0.0000000000000000;5.0956739159353619,-1.0497777404605926,0.0000000000000000;-0.78084220019027950,-9.5230968777134528,0.0000000000000000;0.55117353027288807,19.210530252298433,0.0000000000000000;-30.106793771603979,0.44030907849139517,0.0000000000000000
1.2973962805586282E-004,-1.8617221759837823E-005,0.0000000000000000;0.28690408310930915,0.25665514436521258,0.0000000000000000;0.70530216514082045,0.14686142609336494,0.0000000000000000;0.37789201474778883,-0.92597528578082644,0.0000000000000000;-0.15994988601290289,1.5082088068653965,0.0000000000000000;5.0630884223277066,-1.1972169467303246,0.0000000000000000;-0.89208558770294477,-9.5133655733877287,0.0000000000000000;0.62988653976611231,19.208121393577709,0.0000000000000000;-30.105812295400245,0.50320486607069748,0.0000000000000000
1.6573379553736289E-004,-2.4707060311106128E-005,0.0000000000000000;0.29722298769717131,-0.24506843786114646,0.0000000000000000;0.67620022227490928,-0.25219745563752921,0.0000000000000000;4.3263352613950493E-002,-0.99915544483541285,0.0000000000000000;0.11928901676897279,1.5104800504550886,0.0000000000000000;5.0262413085079451,-1.3436487403791522,0.0000000000000000;-1.0032071248634646,-9.5023407931066313,0.0000000000000000;0.70858908221105854,19.205391488617572,0.0000000000000000;-30.104699968596353,0.56609845476694942,0.0000000000000000
