0.0000000000000000,0.0000000000000000,0.0000000000000000;0.0000000000000000,5.2026000000000003,0.0000000000000000
0.0000000000000000,5.2282700914421418E-005,0.0000000000000000;0.75236837451332961,5.1479560665897361,0.0000000000000000
7.5609881582085164E-006,2.0858238724986392E-004,0.0000000000000000;1.4889324285552552,4.9851745140446528,0.0000000000000000
3.7646633212014681E-005,4.6671465261057031E-004,0.0000000000000000;2.1942205131400483,4.7176788829768688,0.0000000000000000
1.0474821978209501E-004,8.2235405791171207E-004,0.0000000000000000;2.8534186016465695,4.3510937908070444,0.0000000000000000
2.2257990681688491E-004,1.2691245447487263E-003,0.0000000000000000;3.4526816497019586,3.8931269143024791,0.0000000000000000
4.0379011149551335E-004,1.7987330282126313E-003,0.0000000000000000;3.9794247195846264,3.3534071620200123,0.0000000000000000
6.5969512196437335E-004,2.4011434322587328E-003,0.0000000000000000;4.4225877292004236,2.7432823871083407,0.0000000000000000
1.0000405965100954E-003,3.0647875655835473E-003,0.0000000000000000;4.7728682237520657,2.0755808513001051,0.0000000000000000
1.4327960365374418E-003,3.7768084405532111E-003,0.0000000000000000;5.0229172279521794,1.3643414274845267,0.0000000000000000
1.9639866364524984E-003,4.5233309306754003E-003,0.0000000000000000;5.1674940054096323,0.62451820328280938,0.0000000000000000
2.5975661286956058E-003,5.2897540605602285E-003,0.0000000000000000;5.2035764142760446,-0.12833429434166788,0.0000000000000000
3.3353333729937164E-003,6.0610587413861923E-003,0.0000000000000000;5.1304244864978079,-0.87838860680723330,0.0000000000000000
4.1768945041848003E-003,6.8221244171238135E-003,0.0000000000000000;4.9495958520448244,-1.6098776525886189,0.0000000000000000
5.1196714735599891E-003,7.5580478816793520E-003,0.0000000000000000;4.6649126575331268,-2.3074267702445521,0.0000000000000000
6.1589568169642403E-003,8.2544574707749500E-003,0.0000000000000000;4.2823806677896492,-2.9563774477539524,0.0000000000000000
7.2880134822027919E-003,8.8978159271287226E-003,0.0000000000000000;3.8100622655945271,-3.5430958629945635,0.0000000000000000
8.4982175721638343E-003,9.4757054818081117E-003,0.0000000000000000;3.2579060555939474,-4.0552596841816797,0.0000000000000000
9.7792409315584135E-003,9.9770890830773052E-003,0.0000000000000000;2.6375367104202301,-4.4821170472048699,0.0000000000000000
1.1119269646187313E-002,1.0392542227456572E-002,0.0000000000000000;1.9620095489505376,-4.8147122284901718,0.0000000000000000
1.2505253754216038E-002,1.0714450493381615E-002,0.0000000000000000;1.2455350889074932,-5.0460732533867576,0.0000000000000000
1.3923182806676006E-002,1.0937168630033821E-002,0.0000000000000000;0.50317945168889788,-5.1713575043149724,0.0000000000000000
1.5358381373978016E-002,1.1057137894277086E-002,0.0000000000000000;-0.24945299758665496,-5.1879523007624613,0.0000000000000000
1.6795818187974803E-002,1.1072959236879776E-002,0.0000000000000000;-0.99654802798961084,-5.0955283935489630,0.0000000000000000
1.8220422342839396E-002,1.0985420893692626E-002,0.0000000000000000;-1.7224139763473989,-4.8960453262118282,0.0000000000000000
1.9617399856872598E-002,1.0797479915909021E-002,0.0000000000000000;-2.4118112105244278,-4.5937086438861572,0.0000000000000000
2.0972543921827839E-002,1.0514198153663914E-002,0.0000000000000000;-3.0502716844302595,-4.1948799516695132,0.0000000000000000
2.2272532333486403E-002,1.0142634167350893E-002,0.0000000000000000;-3.6244018826089652,-3.7079418177876766,0.0000000000000000
2.3505205900865352E-002,9.6916934606257540E-003,0.0000000000000000;-4.1221628289419572,-3.1431204606909517,0.0000000000000000
2.4659822062567956E-002,9.1719402892032412E-003,0.0000000000000000;-4.5331213415054101,-2.5122700339223032,0.0000000000000000
2.5727278485908698E-002,8.5953750832992917E-003,0.0000000000000000;-4.8486673413478965,-1.8286231106504423,0.0000000000000000
2.6700302074057557E-002,7.9751822142180850E-003,0.0000000000000000;-5.0621927521003771,-1.1065126559264553,0.0000000000000000
2.7573599543468011E-002,7.3254534248254352E-003,0.0000000000000000;-5.1692283433673953,-0.36107134632057780,0.0000000000000000
2.8343966542045882E-002,6.6608927196579607E-003,0.0000000000000000;-5.1675357559473243,0.39208545638213466,0.0000000000000000
2.9010353140892380E-002,5.9965088658389103E-003,0.0000000000000000;-5.0571528823928329,1.1371864555868556,0.0000000000000000
2.9573884431620796E-002,5.3473018858756043E-003,0.0000000000000000;-4.8403917430797723,1.8586340938278603,0.0000000000000000
3.0037835879706636E-002,4.7279500251943421E-003,0.0000000000000000;-4.5217889765204893,2.5413303093116983,0.0000000000000000
3.0407564004737847E-002,4.1525036505274046E-003,0.0000000000000000;-4.1080100340608832,3.1709916315202600,0.0000000000000000
3.0690393863790730E-002,3.6340923816873053E-003,0.0000000000000000;-3.6077091147513762,3.7344471044253273,0.0000000000000000
3.0895465687994741E-002,3.1846514824948728E-003,0.0000000000000000;-3.0313477782239238,4.2199128873519500,0.0000000000000000
3.1033543848854876E-002,2.8146731421816052E-003,0.0000000000000000;-2.3909760149298287,4.6172378669382983,0.0000000000000000
3.1116792095056030E-002,2.5329877737533327E-003,0.0000000000000000;-1.6999803183263296,4.9181152095047871,0.0000000000000000
3.1158519688185286E-002,2.3465798495841553E-003,0.0000000000000000;-0.97280397809575470,5.1162554801279807,0.0000000000000000
3.1172903664048082E-002,2.2604420975675548E-003,0.0000000000000000;-0.22464538429173453,5.2075177397479253,0.0000000000000000
3.1174692943226889E-002,2.2774711057520916E-003,0.0000000000000000;0.52885941183494511,5.1899958900668501,0.0000000000000000
