0.0000000000000000,0.0000000000000000,0.0000000000000000;0.0000000000000000,1.0000000000000000,0.0000000000000000
0.0000000000000000,4.4449337883375107E-010,0.0000000000000000;1.7213356150902550E-002,0.99985183919899123,0.0000000000000000
7.6512228538197979E-012,1.7779076596435687E-009,0.0000000000000000;3.4421611612529629E-002,0.99940740069943168,0.0000000000000000
3.8253847126043159E-011,3.9999794383856549E-009,0.0000000000000000;5.1619667207028284E-002,0.99866681619749686,0.0000000000000000
1.0710125059312749E-010,7.1101819842273835E-009,0.0000000000000000;6.8802426778921344E-002,0.99763030514327866,0.0000000000000000
2.2947547859615246E-010,1.1107725395617115E-008,0.0000000000000000;8.5964798705171375E-002,0.99629817467576198,0.0000000000000000
4.2064271575103704E-010,1.5991556834332429E-008,0.0000000000000000;0.10310169740390181,0.99467081953181813,0.0000000000000000
6.9584876235787491E-010,2.1760360837437420E-008,0.0000000000000000;0.12020804484132824,0.99274872192924324,0.0000000000000000
1.0703145168496476E-009,2.8412559707056692E-008,0.0000000000000000;0.13727877203645333,0.99053245142387525,0.0000000000000000
1.5592314656187859E-009,3.5946313977850542E-008,0.0000000000000000;0.15430882056307960,0.98802266474083267,0.0000000000000000
2.1777571815578644E-009,4.4359522962052896E-008,0.0000000000000000;0.17129314404869489,0.98522010557992479,0.0000000000000000
2.9410108326481366E-009,5.3649825371910509E-008,0.0000000000000000;0.18822670966978680,0.98212560439529051,0.0000000000000000
3.8640687019266371E-009,6.3814600019339057E-008,0.0000000000000000;0.20510449964314262,0.97874007814933184,0.0000000000000000
4.9619597201592150E-009,7.4850966592588878E-008,0.0000000000000000;0.22192151271269320,0.97506453004101457,0.0000000000000000
6.2496610125430947E-009,8.6755786509690248E-008,0.0000000000000000;0.23867276563146003,0.97110004920861659,0.0000000000000000
7.7420934607584020E-009,9.9525663848425412E-008,0.0000000000000000;0.25535329463816669,0.96684781040701173,0.0000000000000000
9.4541172816835635E-009,1.1315694635255187E-007,0.0000000000000000;0.27195815692807701,0.96230907365958562,0.0000000000000000
1.1400527624084532E-008,1.2764572651397881E-007,0.0000000000000000;0.28848243211762403,0.95748518388488535,0.0000000000000000
1.3596050184582481E-008,1.4298784273057615E-007,0.0000000000000000;0.30492122370239616,0.95237757049811422,0.0000000000000000
